question,oracle_sentence_ids,oracle_span,ecosearch_chunk_indices,ecosearch_chunk_text,overlap
What is question answering in computer science?,[0],Question answering (QA) is a computer science discipline within the fields of information retrieval and natural language processing (NLP) that is concerned with building systems that automatically answer questions that are posed by humans in a natural language.,"[0, 1, 2]","Question answering (QA) is a computer science discipline within the fields of information retrieval and natural language processing (NLP) that is concerned with building systems that automatically answer questions that are posed by humans in a natural language. [1]
Overview
A question-answering implementation, usually a computer program, may construct its answers by querying a structured database of knowledge or information, usually a knowledge base. More commonly, question-answering systems can pull answers from an unstructured collection of natural language documents.",FULL
What are common data sources used in question answering?,"[2, 3]","More commonly, question-answering systems can pull answers from an unstructured collection of natural language documents. Some examples of natural language document collections used for question answering systems include:
	•	a local[clarification needed] collection of reference texts
	•	internal organization[ambiguous] documents and web pages
	•	compiled newswire reports
	•	a set of Wikipedia pages[2]
	•	a subset of World Wide Web pages
Types of question answering[edit]
Question-answering research attempts to develop ways of answering a wide range of question types, including fact, list, definition, how, why, hypothetical, semantically constrained, and cross-lingual questions.","[102, 103, 104]","[23] Current question answering research topics include:
	•	interactivity—clarification of questions or answers[further explanation needed][24]
	•	answer reuse or caching[25]
	•	semantic parsing[26]
	•	answer presentation[further explanation needed][27]
	•	knowledge representation and semantic entailment[28]
	•	social media analysis[further explanation needed] with question answering systems
	•	sentiment analysis[29]
	•	utilization of thematic roles[30]
	•	Image captioning for visual question answering[22]
	•	Embodied question answering[31]
In 2011, Watson, a question answering computer system developed by IBM, competed in two exhibition matches of Jeopardy! against Brad Rutter and Ken Jennings, winning by a significant margin. [32] Facebook Research made their DrQA system[33] available under an open source license.",NONE
What types of questions can QA systems handle?,"[3, 4]","Some examples of natural language document collections used for question answering systems include:
	•	a local[clarification needed] collection of reference texts
	•	internal organization[ambiguous] documents and web pages
	•	compiled newswire reports
	•	a set of Wikipedia pages[2]
	•	a subset of World Wide Web pages
Types of question answering[edit]
Question-answering research attempts to develop ways of answering a wide range of question types, including fact, list, definition, how, why, hypothetical, semantically constrained, and cross-lingual questions. •	Answering questions related to an article in order to evaluate reading comprehension is one of the simpler form of question answering, since a given article is relatively short compared to the domains of other types of question-answering problems.","[16, 17, 18]","Another way to categorize question-answering systems is by the technical approach used. There are a number of different types of QA systems, including
	•	rule-based systems,
	•	statistical systems, and
	•	hybrid systems. Rule-based systems use a set of rules to determine the correct answer to a question.",NONE
What is closed-book question answering?,"[7, 8]",•	Closed-book question answering is when a system has memorized some facts during training and can answer questions without explicitly being given a context. This is similar to humans taking closed-book exams.,"[7, 8, 9]","•	Closed-book question answering is when a system has memorized some facts during training and can answer questions without explicitly being given a context. This is similar to humans taking closed-book exams. •	Closed-domain question answering deals with questions under a specific domain (for example, medicine or automotive maintenance) and can exploit domain-specific knowledge frequently formalized in ontologies.",FULL
How does closed-domain QA differ from open-domain QA?,"[9, 12]","•	Closed-domain question answering deals with questions under a specific domain (for example, medicine or automotive maintenance) and can exploit domain-specific knowledge frequently formalized in ontologies. [3]
	•	Open-domain question answering deals with questions about nearly anything and can only rely on general ontologies and world knowledge.","[9, 10, 11]","•	Closed-domain question answering deals with questions under a specific domain (for example, medicine or automotive maintenance) and can exploit domain-specific knowledge frequently formalized in ontologies. Alternatively, ""closed-domain"" might refer to a situation where only a limited type of questions are accepted, such as questions asking for descriptive rather than procedural information. Question answering systems in the context of[vague] machine reading applications have also been constructed in the medical domain, for instance related to[vague] Alzheimer's disease.",PARTIAL
What are the main technical types of QA systems?,"[17, 18, 19]","There are a number of different types of QA systems, including
	•	rule-based systems,
	•	statistical systems, and
	•	hybrid systems. Rule-based systems use a set of rules to determine the correct answer to a question. Statistical systems use statistical methods to find the most likely answer to a question.","[16, 17, 18]","Another way to categorize question-answering systems is by the technical approach used. There are a number of different types of QA systems, including
	•	rule-based systems,
	•	statistical systems, and
	•	hybrid systems. Rule-based systems use a set of rules to determine the correct answer to a question.",PARTIAL
What was the LUNAR system designed to do?,"[23, 24]",LUNAR answered questions about the geological analysis of rocks returned by the Apollo Moon missions. Both question answering systems were very effective in their chosen domains.,"[21, 22, 23]","History
Two early question answering systems were BASEBALL[4] and LUNAR. [5] BASEBALL answered questions about Major League Baseball over a period of one year[ambiguous]. LUNAR answered questions about the geological analysis of rocks returned by the Apollo Moon missions.",PARTIAL
Who developed SHRDLU?,[29],SHRDLU was a successful question-answering program developed by Terry Winograd in the late 1960s and early 1970s.,"[29, 30, 31]","SHRDLU was a successful question-answering program developed by Terry Winograd in the late 1960s and early 1970s. It simulated the operation of a robot in a toy world (the ""blocks world""), and it offered the possibility of asking the robot questions about the state of the world. The strength of this system was the choice of a very specific domain and a very simple world with rules of physics that were easy to encode in a computer program.",FULL
What was the Unix Consultant system?,"[37, 38, 39]","One example was the Unix Consultant (UC), developed by Robert Wilensky at U.C. Berkeley in the late 1980s. The system answered questions pertaining to the Unix operating system.","[37, 38, 39]","One example was the Unix Consultant (UC), developed by Robert Wilensky at U.C. Berkeley in the late 1980s. The system answered questions pertaining to the Unix operating system.",FULL
What is the role of a question classifier?,"[46, 47]","Architecture[edit]
As of 2001, question-answering systems typically included a question classifier module that determined the type of question and the type of answer. [7]
Different types of question-answering systems employ different architectures.","[45, 46, 47]","•	customer service,
	•	technical support,
	•	market research,
	•	generating reports or conducting research. Architecture[edit]
As of 2001, question-answering systems typically included a question classifier module that determined the type of question and the type of answer. [7]
Different types of question-answering systems employ different architectures.",FULL
