question,error,oracle_sentence_ids,predicted_sentence_ids,overlap_count,oracle_match,partial_overlap
What is question answering in computer science?,Question not found in chunk_questions,,,,,
What are common data sources used in question answering?,Question not found in chunk_questions,,,,,
What types of questions can QA systems handle?,Question not found in chunk_questions,,,,,
What is closed-book question answering?,,[],"[7, 8, 9]",0.0,True,False
How does closed-domain QA differ from open-domain QA?,Question not found in chunk_questions,,,,,
What are the main technical types of QA systems?,Question not found in chunk_questions,,,,,
What was the LUNAR system designed to do?,Question not found in chunk_questions,,,,,
Who developed SHRDLU?,Question not found in chunk_questions,,,,,
What was the Unix Consultant system?,Question not found in chunk_questions,,,,,
What is the role of a question classifier?,Question not found in chunk_questions,,,,,
How does a retriever-reader architecture work?,Question not found in chunk_questions,,,,,
What benefits does data redundancy offer in QA?,Question not found in chunk_questions,,,,,
What is MathQA?,Question not found in chunk_questions,,,,,
What is the ARQMath Task?,Question not found in chunk_questions,,,,,
What are the applications of QA systems?,Question not found in chunk_questions,,,,,
What is answer type detection in QA?,Question not found in chunk_questions,,,,,
What is the function of a named-entity recogniser in QA?,Question not found in chunk_questions,,,,,
How does a vector space model help in QA?,Question not found in chunk_questions,,,,,
What role did Watson play in QA history?,Question not found in chunk_questions,,,,,
What are current research topics in QA?,Question not found in chunk_questions,,,,,
